loss	cls_a	cls_b
0.0001962245	{'P4FP1----------'}	{'P4IP1----------'}
0.0002037058	{'VB-S---2P-NA---', 'NNNP1-----A---2'}	{'Vi-S---2--A----'}
0.0002056053	{'PLXP7----------'}	{'VeYS------A----'}
0.0002080258	{'P4IS4----------'}	{'P4YP4----------'}
0.0002103339	{'AAFS4----2A----'}	{'P8FS4----------', 'VsFS4--XX-AP---'}
0.0002115032	{'PPMP1--3-------'}	{'PZMP1----------'}
0.0002122313	{'AAFS1----3A----'}	{'AUFS1M---------'}
0.0002123683	{'CrIS1----------'}	{'PSYS1-P1-------'}
0.0002142476	{'Ca--2----------'}	{'PZXP2----------'}
0.0002178389	{'AGFS2-----A----'}	{'PSFS2-P1-------'}
0.0002179003	{'P5ZS3--3-------'}	{'PDZS3----------'}
0.0002197043	{'AAMS7----1A----'}	{'AAMS7----3A----', 'PSZS7-S1-------'}
0.0002229167	{'AAMS2----1A----'}	{'AGMS2-----A----', 'AAMS2----1N----'}
0.0002267502	{'PP-P4--2-------'}	{'PP-S4--1-------'}
0.0002272047	{'PDFP4----------'}	{'PLFP4----------'}
0.0002300324	{'J^------------8', 'NNNXX-----A---8'}	{'NNFXX-----A---8'}
0.0002309207	{'P8XP6----------'}	{'PDXP6----------'}
0.0002382060	{'NNIXX-----A---8'}	{'NNMXX-----A---8'}
0.0002406407	{'ClFS1----------'}	{'Dg-------1A---1', 'NNFS7-----N----'}
0.0002434000	{'PZNP1----------', 'AGNP1-----A----'}	{'P4ZS7----------'}
0.0002434870	{'NNFS1-----A---1'}	{'NNFS5-----A----'}
0.0002456872	{'AAFP2----1N----'}	{'AGFP2-----A----'}
0.0002479663	{'PPNS4--3-------'}	{'PPXP2--3-------'}
0.0002489894	{'AGMP4-----A----', 'CdXS1----------'}	{'PZ--1----------'}
0.0002495897	{'ClYS1----------'}	{'ClZS7----------'}
0.0002551186	{'AANS2----1N----'}	{'AANS2----2A----', 'AGNS2-----A----'}
0.0002576482	{'AAFS7----1A----'}	{'AAFS7----1N----', 'AUFS7M---------'}
0.0002610251	{'AANS7----1A----'}	{'AANS7----1N----', 'AGNS7-----A----'}
0.0002610598	{'ACMP------A----'}	{'VB-S---1F-NA---', 'VB-P---2F-AA---'}
0.0002649986	{'P8ZS2----------'}	{'PSZS2-P1-------'}
0.0002665529	{'PJFS3----------', 'PQ--3----------'}	{'PKM-1----------'}
0.0002668986	{'P6-X3----------', 'PPZS3--3-------'}	{'P8ZS3----------'}
0.0002693689	{'AAIP7----3A----', 'AUFP1M---------'}	{'AANP7----1A----'}
0.0002751160	{'AANS4----1A----'}	{'AGNS4-----A----', 'AANS4----3A----'}
0.0002816629	{'AAIS1----1A---6', 'VpYS---XR-NA--1'}	{'NNIS2-----A---1'}
0.0002818468	{'AAFP4----1A----'}	{'PZNS4----------', 'AAFP4----3A----'}
0.0002852328	{'PJXP2----------', 'Vi-P---1--N----'}	{'PQ--1----------'}
0.0002920818	{'AAFP1----1A----'}	{'AAFP1----1N----'}
0.0002961049	{'AAFP2----1A----'}	{'AUFP2M---------', 'AAFP2----2A----'}
0.0002998792	{'NNMXX-----A----', 'AAMS2----3A----'}	{'ClZS2----------'}
0.0003027223	{'PP-P3--2-------'}	{'PPFS3--3-------'}
0.0003062496	{'CrFS1----------'}	{'PSFSXFS3-------'}
0.0003065031	{'PLZS6----------', 'AGNS6-----A----'}	{'P8ZS6----------'}
0.0003101836	{'VpQW---XR-NA--1', 'Dg-------2A---2'}	{'Vf--------A---1'}
0.0003107490	{'NNNP4-----A---2', 'PKM-4----------'}	{'PZ--4----------'}
0.0003110946	{'ClFS7----------'}	{'PPYS1--3-------'}
0.0003120304	{'AANP3----1A----'}	{'PDXP3----------'}
0.0003133469	{'AGNS1-----A----'}	{'VpNS---XR-AA--1'}
0.0003228474	{'P5XP4--3-------'}	{'PP-P4--1-------'}
0.0003236414	{'AAIP2----1A----'}	{'CrIP2----------', 'AUIP2M---------'}
0.0003240221	{'AAFP7----1A----'}	{'AAFP7----1N----', 'AAFP7----2A----'}
0.0003257966	{'NNMS6-----A----'}	{'NNNSX-----A----', 'PW--6----------'}
0.0003258444	{'P5ZS7--3-------'}	{'P6-X7----------', 'PZM-7----------'}
0.0003290478	{'AAIP1----2A----', 'AUIP1M---------'}	{'ClYP1----------'}
0.0003313916	{'P4FP4----------'}	{'P4XP3----------', 'PJZS7----------'}
0.0003337061	{'ClHP1----------'}	{'PWFP1----------', 'PDNP1----------'}
0.0003340607	{'AAFS6----1A----'}	{'P8FS6---------1'}
0.0003369218	{'P5XP2--3-------', 'P9FS2----------'}	{'PP-P2--1-------'}
0.0003380642	{'ClXP4----------'}	{'ClYP4----------'}
0.0003398773	{'AAIP6----1A----'}	{'CrIP6----------', 'AAIP6----3A----'}
0.0003443432	{'AAMS3----1A----'}	{'NNMS3-----A---1'}
0.0003465486	{'PDZS2----------'}	{'PSZS2-S1-------', 'PZZS2----------'}
0.0003474459	{'PW--1----------'}	{'PW--4----------'}
0.0003564616	{'P8FS2---------1'}	{'PDFS2----------'}
0.0003643676	{'NNIS3-----A----'}	{'RV--3---------1', 'NNIS3-----A---1'}
0.0003653662	{'P8ZS7----------'}	{'PSZS7-P1-------', 'PLZS7----------'}
0.0003657898	{'PDFP1----------'}	{'PZNS1----------', 'PWNS1----------'}
0.0003669454	{'AANS4----2A----', 'PSNS4-P1-------'}	{'P8NS4---------1'}
0.0003677599	{'PZFS6----------', 'CrFP6----------'}	{'P9ZS6----------'}
0.0003693205	{'NNMS5-----A----'}	{'RR--1----------'}
0.0003723601	{'AAIS6----1A----'}	{'AAIS6----1N----', 'AAIS6----3A----'}
0.0003795567	{'AAIP3----1A----'}	{'AAIP3----3A----', 'AGIP3-----A----'}
0.0003807143	{'AGFS4-----A----'}	{'P8FS7---------1'}
0.0003815893	{'AAIS4----1A----'}	{'PSIS4-P1-------', 'CrIS4----------'}
0.0003842156	{'AANS3----1A----'}	{'NNMP2-----A---1', 'ClZS3----------'}
0.0003843580	{'AGIS1-----A----'}	{'PSZS7FS3-------', 'CrMS7----------'}
0.0003848013	{'VB-P---1P-NA---'}	{'VB-S---1P-AA--1'}
0.0003906462	{'ACYS------A----'}	{'PWM-4----------', 'PH-S4--2-------'}
0.0003960822	{'AAIP7----1A----'}	{'PZXP7----------', 'AAIP7----1N----'}
0.0004015314	{'VpTP---XR-AA--1'}	{'VpTP---XR-NA---'}
0.0004034982	{'NNFP2-----A----'}	{'NNFS7-----A---1', 'NNFP2-----A---1'}
0.0004040532	{'NNNS4-----A----'}	{'PZZS7----------', 'PLNS4---------1'}
0.0004046564	{'NNFSX-----A----'}	{'NNIPX-----A----'}
0.0004065993	{'PLZS3----------', 'CyFS1----------'}	{'PZM-1----------'}
0.0004132530	{'AAIP4----1A----'}	{'AGIP4-----A----', 'AAIP4----3A----'}
0.0004147799	{'PP-P1--1-------'}	{'Vf--------N----'}
0.0004150543	{'AAIS7----1A----'}	{'AUIS7M---------', 'AAIS7----3A----'}
0.0004171520	{'NNFS2-----A----'}	{'NNFS2-----N----', 'NNFS2-----A---1'}
0.0004172054	{'AAMP3----1A----'}	{'PZ--3----------', 'Cn-P3----------'}
0.0004216485	{'AAFS2----1A----'}	{'AAFS2----3A----', 'AAFS2----2A----'}
0.0004241424	{'P4MP1----------'}	{'P4ZS3----------', 'P4NP1----------'}
0.0004330673	{'VpMP---XR-AA--1'}	{'VpMP---XR-NA---'}
0.0004344565	{'ACTP------A----', 'AAFP1----2A----'}	{'AAFS1----2A----'}
0.0004366240	{'P4FS1----------'}	{'P4NS1----------'}
0.0004428069	{'PHZS4--3-------'}	{'PPFS4--3-------'}
0.0004429038	{'Ca--1----------'}	{'Ca--4----------'}
0.0004436653	{'AAFS3----1A----'}	{'PLNP4----------', 'CrFP4----------'}
0.0004446166	{'AAMP7----1A----'}	{'PP-S7--1-------', 'P4XP7----------'}
0.0004451711	{'P8FS4---------1'}	{'PDFS4----------'}
0.0004487497	{'Cn-P2----------'}	{'PQ--2----------', 'PP-P2--2-------'}
0.0004490240	{'AAMS4----1A----'}	{'NNNS4-----N----', 'CyFS4----------'}
0.0004506099	{'PH-S4--1-------'}	{'PPZS7--3-------', 'VB-S---3P-AA--1'}
0.0004526463	{'CyFP1----------', 'NNISX-----A----'}	{'NNNP1-----A----'}
0.0004531218	{'Dg-------1A---1', 'NNFS7-----N----', 'ClFS1----------'}	{'PDFS1----------'}
0.0004587311	{'C?--4----------', 'Vi-P---2--N----'}	{'RF-------------'}
0.0004597273	{'NNFPX-----A----'}	{'PJZS3----------', 'P1FSXFS3-------'}
0.0004598492	{'AAMP1----1A----'}	{'PSXP1FS3-------', 'AAMP1----2A----'}
0.0004614568	{'ClXP1----------'}	{'CrIP1----------', 'PZIP1----------'}
0.0004671841	{'VB-P---2P-NA---', 'PZM-4----------'}	{'VB-S---3F-NA---'}
0.0004737472	{'PDMP1----------'}	{'PLMP1----------'}
0.0004761670	{'AAIP2----2A----', 'AAIP2----3A----'}	{'PDXP2----------'}
0.0004796926	{'AAMS1----1A----'}	{'AUMS1M---------', 'AAMS1----1N----'}
0.0004798577	{'Vc-P---2-------', 'Co-------------'}	{'Cv-------------'}
0.0004975430	{'NNNP3-----A----'}	{'P5ZS2--3------1', 'P9ZS2----------'}
0.0004979634	{'Dg-------1A---3', 'PP-S3--1-------'}	{'PP-P3--1-------'}
0.0005031206	{'PPXP3--3-------'}	{'PPZS4--3------2'}
0.0005040371	{'AAIS1----1A----'}	{'AAIS1----3A----', 'PWYS1----------'}
0.0005122109	{'P5FS4--3-------', 'PZ--6----------'}	{'PDNS4----------'}
0.0005132341	{'NNFS1-----A----'}	{'NNIP2-----A---1', 'NNFS1-----N----'}
0.0005142135	{'PWIP1----------', 'PLIP1----------'}	{'Vc-P---1-------'}
0.0005148991	{'AAIS2----1A----'}	{'AGIS2-----A----', 'AAIS2----2A----'}
0.0005170483	{'ClMS4----------', 'AAMS4----2A----'}	{'NNMS4-----A----'}
0.0005247369	{'NNNS3-----A----'}	{'P5XP3--3-------', 'P5FS3--3-------'}
0.0005250573	{'CrNS3----------', 'AANS3----2A----'}	{'NNFP3-----A----'}
0.0005297630	{'PH-S3--1-------'}	{'PHZS3--3-------'}
0.0005315480	{'P4FS7----------', 'P9ZS7----------'}	{'PDZS7----------'}
0.0005532272	{'AAMP4----1A----'}	{'AGFP4-----A----', 'AGIS4-----A----'}
0.0005533360	{'PLYS1----------'}	{'PWM-1----------'}
0.0005548670	{'PSXP2FS3-------', 'P8XP2----------'}	{'PLXP2----------'}
0.0005894230	{'CrFP1----------', 'NNNS1-----N----'}	{'PPXP4--3-------'}
0.0005900668	{'PSFS7-P1-------', 'AGFS7-----A----'}	{'NNNP7-----A----'}
0.0005909352	{'VpQW---XR-AA--1'}	{'VpQW---XR-NA---'}
0.0005974008	{'P1XXXXP3-------', 'P1ZS1FS3-------', 'PE--4----------'}	{'PSXXXXP3-------'}
0.0006060530	{'AUIS1M---------', 'PSZS1FS3-------'}	{'PDYS1----------'}
0.0006093667	{'NNFS4-----A----'}	{'PDMP4----------', 'NNFS4-----N----'}
0.0006170448	{'AGIS7-----A----', 'CrIS7----------'}	{'VB-S---1P-NA---'}
0.0006190874	{'AANS2----1A----'}	{'AUNS2M---------', 'CrNS2----------'}
0.0006244675	{'C}-------------'}	{'Db------------8'}
0.0006271974	{'P4MS4----------', 'P4FS4----------'}	{'PQ--4----------'}
0.0006300498	{'PWYP4----------', 'PDIP4----------'}	{'PDIS4----------'}
0.0006347912	{'PLXP7----------', 'VeYS------A----'}	{'PP-S1--1-------'}
0.0006390362	{'ACNS------A----'}	{'PLNS4----------', 'ACQW------A----'}
0.0006411144	{'AAMS1----2A----', 'AGMS1-----A----'}	{'Dg-------2A---1'}
0.0006425648	{'PDMS4----------', 'P8MS4----------'}	{'Vc-S---1-------'}
0.0006446686	{'Ca--7----------', 'AGFP7-----A----'}	{'NNMP7-----A----'}
0.0006453794	{'P4YS1----------'}	{'PJYS1----------', 'PE--7----------'}
0.0006495083	{'ClXP2----------'}	{'PQ--2----------', 'PP-P2--2-------', 'Cn-P2----------'}
0.0006576914	{'ClNS1----------', 'Dg-------3A---1'}	{'VsMP---XX-AP---'}
0.0006592743	{'AGNP6-----A----', 'Ca--6----------'}	{'NNNP6-----A----'}
0.0006680517	{'NNIS2-----A----'}	{'PP-S2--1-------', 'P6-X2----------'}
0.0006682341	{'AANP2----1A----'}	{'AGNP2-----A----', 'CrNP2----------'}
0.0006719082	{'RR--X----------', 'NNIS5-----A----'}	{'XX-------------'}
0.0006731984	{'VB-P---1F-AA---', 'VB-S---1F-AA---'}	{'VB-P---3P-AA--1'}
0.0006750361	{'AAMP2----1A----'}	{'AAMP2----2A----', 'AAMP2----3A----'}
0.0006801668	{'AGFS1-----A----'}	{'P4ZS2----------', 'P4FS2----------'}
0.0006821233	{'AAFP6----1A----'}	{'PLXP6----------', 'AGFP6-----A----'}
0.0006970935	{'Dg-------1N----'}	{'Dg-------3A----'}
0.0007042494	{'NNIS6-----A---1'}	{'P4ZS6----------', 'NNNS6-----A---1'}
0.0007065665	{'AAFS4----1A----'}	{'AUFS4M---------', 'AAFS4----3A----'}
0.0007130063	{'AAMP1----1N----', 'AAMP1----3A----'}	{'NNMP1-----A---1'}
0.0007187634	{'AAFS1----1A----'}	{'PLFS1----------', 'AAFS1----1N----'}
0.0007195397	{'J,-P---1-------', 'PJXP1----------'}	{'J,-X---3-------'}
0.0007210737	{'J^------------1', 'PQ--7----------'}	{'VB-P---3F-AA---'}
0.0007221097	{'PQ--6----------', 'P5FS6--3-------'}	{'PDZS6----------'}
0.0007349866	{'AAFP3----1A----'}	{'PZXP3----------', 'P8XP3----------'}
0.0007461983	{'PP-P1--2-------', 'II-------------'}	{'X@-------------'}
0.0007532560	{'AANS6----1A----'}	{'ClZS6----------', 'AUNS6M---------'}
0.0007618068	{'ClXS2----------'}	{'P4XP2----------', 'P5FS2--3-------'}
0.0007641722	{'AAMS1----3A----', 'CrMS1----------'}	{'NNMS1-----A----'}
0.0007703182	{'NNNS2-----A----'}	{'PLZS2----------', 'PSZS2FS3-------'}
0.0007882299	{'Db------------1'}	{'PZYS1----------', 'PSYS1-S1-------'}
0.0007979718	{'Cn-S1----------'}	{'Cn-S4----------'}
0.0007987035	{'VB-S---1F-NA---', 'ACMP------A----', 'VB-P---2F-AA---'}	{'VpNS---XR-NA---'}
0.0007992692	{'VB-P---2P-AA---'}	{'VB-S---2P-AA---', 'VB-S---1P-NA--1'}
0.0008049845	{'AAIP1----1A----'}	{'AGIP1-----A----', 'AAIP1----1N----'}
0.0008133459	{'AAIS1----1A---6', 'NNIS2-----A---1', 'VpYS---XR-NA--1'}	{'NNMS3-----A----'}
0.0008195210	{'PSHP1-P1-------', 'PSHP1-P2-------'}	{'PSXXXZS3-------'}
0.0008207170	{'NNFS1-----A---1', 'NNFS5-----A----'}	{'Xx-------------'}
0.0008252266	{'PWFS1----------', 'PZFS1----------'}	{'VsQW---XX-AP---'}
0.0008277746	{'NNNP4-----A----'}	{'PP-P4--2-------', 'PP-S4--1-------'}
